rank,country_full,total_points,confederation,rank_date,rank_type
1,Argentina,1877.27,CONMEBOL,2026-06-10,live_unofficial
2,Spain,1874.71,UEFA,2026-06-10,live_unofficial
3,France,1870.7,UEFA,2026-06-10,live_unofficial
4,England,1828.02,UEFA,2026-06-10,live_unofficial
5,Portugal,1767.85,UEFA,2026-06-10,live_unofficial
6,Brazil,1765.86,CONMEBOL,2026-06-10,live_unofficial
7,Morocco,1755.1,CAF,2026-06-10,live_unofficial
8,Netherlands,1753.57,UEFA,2026-06-10,live_unofficial
9,Belgium,1742.24,UEFA,2026-06-10,live_unofficial
10,Germany,1735.77,UEFA,2026-06-10,live_unofficial
11,Croatia,1714.87,UEFA,2026-06-10,live_unofficial
12,Italy,1704.73,UEFA,2026-06-10,live_unofficial
13,Colombia,1698.35,CONMEBOL,2026-06-10,live_unofficial
14,Mexico,1687.48,CONCACAF,2026-06-10,live_unofficial
15,Senegal,1684.07,CAF,2026-06-10,live_unofficial
16,Uruguay,1673.07,CONMEBOL,2026-06-10,live_unofficial
17,United States,1671.23,CONCACAF,2026-06-10,live_unofficial
18,Japan,1661.58,AFC,2026-06-10,live_unofficial
19,Switzerland,1650.06,UEFA,2026-06-10,live_unofficial
20,IR Iran,1619.58,AFC,2026-06-10,live_unofficial
21,Denmark,1619.47,UEFA,2026-06-10,live_unofficial
22,Türkiye,1605.73,UEFA,2026-06-10,live_unofficial
23,Ecuador,1598.52,CONMEBOL,2026-06-10,live_unofficial
24,Austria,1597.4,UEFA,2026-06-10,live_unofficial
25,Korea Republic,1591.63,AFC,2026-06-10,live_unofficial
26,Nigeria,1585.02,CAF,2026-06-10,live_unofficial
27,Australia,1579.34,AFC,2026-06-10,live_unofficial
28,Algeria,1571.03,CAF,2026-06-10,live_unofficial
29,Egypt,1562.37,CAF,2026-06-10,live_unofficial
30,Canada,1559.48,CONCACAF,2026-06-10,live_unofficial
31,Norway,1557.44,UEFA,2026-06-10,live_unofficial
32,Ukraine,1549.29,UEFA,2026-06-10,live_unofficial
33,Côte d'Ivoire,1540.87,CAF,2026-06-10,live_unofficial
34,Panama,1539.16,CONCACAF,2026-06-10,live_unofficial
35,Russia,1529.6,UEFA,2026-06-10,live_unofficial
36,Poland,1526.18,UEFA,2026-06-10,live_unofficial
37,Wales,1516.95,UEFA,2026-06-10,live_unofficial
38,Sweden,1509.79,UEFA,2026-06-10,live_unofficial
39,Hungary,1506.39,UEFA,2026-06-10,live_unofficial
40,Czechia,1505.74,UEFA,2026-06-10,live_unofficial
41,Paraguay,1505.35,CONMEBOL,2026-06-10,live_unofficial
42,Scotland,1503.34,UEFA,2026-06-10,live_unofficial
43,Serbia,1502.13,UEFA,2026-06-10,live_unofficial
44,Cameroon,1481.24,CAF,2026-06-10,live_unofficial
45,Tunisia,1476.41,CAF,2026-06-10,live_unofficial
46,Congo DR,1474.43,CAF,2026-06-10,live_unofficial
47,Slovakia,1473.66,UEFA,2026-06-10,live_unofficial
48,Greece,1473.19,UEFA,2026-06-10,live_unofficial
49,Venezuela,1469.18,CONMEBOL,2026-06-10,live_unofficial
50,Uzbekistan,1458.73,AFC,2026-06-10,live_unofficial
51,Chile,1458.2,CONMEBOL,2026-06-10,live_unofficial
